name;alt_names;alt_names_extra;lab;alt_lab;brand;alt_brand;product_id;alt_product_id;type;form;tolerance;tolerance_percent;flocculation;attenuation;min_temperature;max_temperature
French Ale;;;Inland Island Yeast;Inland Island;;;INIS-451;;ale;liquid;medium;;high;72;17;23
Golden Kolsch Style Ale;;;Inland Island Yeast;Inland Island;;;INIS-572;;ale;liquid;medium;;medium;76;13;18
German Hybrid Ale;;;Inland Island Yeast;Inland Island;;;INIS-573;;ale;liquid;medium;;medium;75;18;21
Session Lager;;;Inland Island Yeast;Inland Island;;;INIS 701;;lager;liquid;medium;;medium;77.5;10;13
Northern California Ale;;;Inland Island Yeast;Inland Island;;;INIS-001;;ale;liquid;high;;medium;75;16;22
Saison Farmhouse;;;Inland Island Yeast;Inland Island;;;INIS-291;;ale;liquid;high;;medium;76.5;21;35
West Coast;;;Lallemand;Danstar;LalBrew;;BRY-97;;ale;dry;high;;high;75;15;22
Abbaye Belgian Ale;;Abbaye Ale, Abbaye Belgian;Lallemand;Danstar;LalBrew;;;;ale;dry;high;;medium;88;17;25
Belle Saison;;;Lallemand;Danstar;LalBrew;;;;ale;dry;high;;low;90;15;35
Diamond Lager;;;Lallemand;Danstar;LalBrew;;;;lager;dry;low;;high;80;10;15
New England;;;Lallemand;Danstar;LalBrew;;;;ale;dry;medium;;medium;75;15;22
Cask and Bottle Conditioning;;;Lallemand;Danstar;LalBrew;;CBC-1;;ale;dry;high;;high;65;15;25
Köln Kölsch Style Ale;;Lalbrew Köln;Lallemand;;LalBrew;;;;ale;dry;medium;;medium;75;15;22
London English-Style Ale;London ESB Yeast;;Lallemand;Danstar;LalBrew;;;;ale;dry;high;;low;65;18;22
Munich Classic Wheat Beer;Munich Dry Wheat Yeast;;Lallemand;Danstar;LalBrew;;;;ale;dry;high;;low;78;18;22
Nottingham Ale;Nottingham High Performance Ale Yeast;Nottingham, Nottingham Yeast;Lallemand;Danstar;LalBrew;;;;ale;dry;medium;;high;80;10;22
Voss Kveik Ale;;;Lallemand;;LalBrew;;;;ale;dry;high;;high;80;25;40
Windsor Ale;Windsor British-Style Beer Yeast;Windsor;Lallemand;Danstar;LalBrew;;;;ale;dry;medium;;low;70;15;22
Verdant IPA;;Verdant;Lallemand;;LalBrew;;;;ale;dry;high;;high;80;18;23
Lalvin 71B ;;;Lallemand;;Lalvin;;71B;;wine-cider;dry;high;;high;100;15;30
Lalvin EC-1118;;;Lallemand;;Lalvin;;EC-1118;;wine-cider;dry;high;;high;65;15;25
Lalvin ICV D47;;;Lallemand;;Lalvin;;;;wine-cider;liquid;high;;medium;95;15;30
Lalvin V1116;;;Lallemand;;Lalvin;;;;wine-cider;dry;medium;;high;65;10;35
Sourvisiae;;;Lallemand;;;;;;ale;dry;high;;medium;85;10;22
WildBrew Philly Sour;;;Lallemand;;WildBrew;;;;ale;dry;medium;;high;85;20;25
WildBrew Helveticus Pitch;;;Lallemand;;WildBrew;;;;brett-bacteria;dry;low;;low;;38;45
Wildbrew Sour Pitch;;;Lallemand;;WildBrew;;;;brett-bacteria;dry;low;;low;;30;40
Arset;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;78;18;35
Aurland;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;;16;35
BB 3;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;76;20;26
Brettanomainer;;;Mainiacal Yeast Labs;Mainiacal;;;;;brett-bacteria;liquid;medium;;low;93;11;27
Citrus King;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;low;;low;82;18;26
Ebbegarden Kveik ;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;high;;medium;85;27;32
Espe;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;75;16;34
Framgarden;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;high;;medium;78;24;43
Granvin;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;low;78;20;43
Infectious Behaviour;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;high;;medium;90;18;27
Juggernaut;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;79;18;27
Lærdal;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;low;;low;80;27;41
Midtbust;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;78;24;41
MTF Blend;;;Mainiacal Yeast Labs;Mainiacal;;;;;brett-bacteria;liquid;high;;medium;80;21;38
Muri;;;Mainiacal Yeast Labs;Mainiacal;;;;;ale;liquid;medium;;medium;80;16;38
MYBrett86;;;Mainiacal Yeast Labs;Mainiacal;;;;;brett-bacteria;liquid;medium;;low;85;13;28
Bavarian Lager;;;Mangrove Jack's;Mangrove;;;M76;;lager;dry;;;medium;77.5;7;14
Bavarian Wheat;;;Mangrove Jack's;Mangrove;;;M20;;ale;dry;;;low;73;15;30
Belgian Abbey;;;Mangrove Jack's;Mangrove;;;M47;;ale;dry;;;medium-high;75;18;25
Belgian Ale;;;Mangrove Jack's;Mangrove;;;M41;;ale;dry;;;medium;85;18;28
Belgian Tripel;;;Mangrove Jack's;Mangrove;;;M31;;ale;dry;;;medium;85;18;28
Belgian Wit;;;Mangrove Jack's;Mangrove;;;M21;;ale;dry;;;medium-low;72.5;18;25
Bohemian Lager;;;Mangrove Jack's;Mangrove;;;M84;;lager;dry;;;high;78;10;15
British Ale;;;Mangrove Jack's;Mangrove;;;M07;;ale;dry;;;high;78;14;22
Burton Union;;;Mangrove Jack's;Mangrove;;;M79;;ale;dry;;;high;78;17;23
Californian Lager;;;Mangrove Jack's;Mangrove;;;M54;;lager;dry;;;medium-high;79.5;18;20
Cider;Craft Series Cider Yeast;;Mangrove Jack's;Mangrove;;;M02;;wine-cider;dry;;;high;78;18;24
Empire Ale;;;Mangrove Jack's;Mangrove;;;M15;;ale;dry;;;medium-high;72.5;21;24
French Saison Ale;;;Mangrove Jack's;Mangrove;;;M29;;ale;dry;;;medium;87.5;26;32
Kveik;;;Mangrove Jack's;Mangrove;;;M12;;ale;dry;high;;high;80;20;40
Liberty Bell Ale;;Liberty Bell;Mangrove Jack's;Mangrove;;;M36;;ale;dry;;;medium-high;76;17;23
Belgian Wit;;;Mangrove Jack's;Mangrove;;;M27;;ale;liquid;high;;medium;95;26;32
Mead;;;Mangrove Jack's;Mangrove;;;M05;;wine-cider;dry;;;medium-high;97.5;15;30
New World Strong Ale;;;Mangrove Jack's;Mangrove;;;M42;;ale;dry;;;high;79.5;16;22
UK Dark Ale;Newcastle Dark Ale Yeast;;Mangrove Jack's;Mangrove;;;M03;;ale;dry;;;medium;73;18;22
US West Coast;;;Mangrove Jack's;Mangrove;;;M44;;ale;dry;;;high;78;15;23
Workhorse Beer;;;Mangrove Jack's;Mangrove;;;M10;;ale;dry;;;medium;78;15;20
Hophead Ale;;;Mangrove Jack's;Mangrove;;;M66;;ale;dry;;10;high;78;18;22
Gervin Ale ;;;Muntons;;;;GV-12;;ale;dry;low;;low;70;16;22
Abbey Ale C;;;Omega Yeast Labs;Omega;;;OYL-018;;ale;liquid;;12;medium-low;76;20;26
All the Bretts;;;Omega Yeast Labs;Omega;;;OYL-218;;brett-bacteria;liquid;;11;low;48;20;29
Alt;;;Omega Yeast Labs;Omega;;;OYL-001;;ale;liquid;;11;low;75;13;20
American Lager;;;Omega Yeast Labs;Omega;;;OYL-103;;lager;liquid;;9;medium;75;9;13
American Pilsner;;;Omega Yeast Labs;Omega;;;OYL-102;;lager;liquid;;9;medium;73;9;13
American Wheat;;;Omega Yeast Labs;Omega;;;OYL-002;;ale;liquid;;10;low;76;14;23
Bavarian Wheat;;;Omega Yeast Labs;Omega;;;OYL-025;;ale;liquid;;10;low;73;18;24
Bayern Lager;;;Omega Yeast Labs;Omega;;;OYL-114;;lager;liquid;;9;medium;74;11;17
Belgian Ale A;;;Omega Yeast Labs;Omega;;;OYL-024;;ale;liquid;;12;high;79;18;26
Belgian Ale D;;;Omega Yeast Labs;Omega;;;OYL-019;;ale;liquid;;12;low;76;18;27
Belgian Ale DK;;;Omega Yeast Labs;Omega;;;OYL-049;;ale;liquid;;10;medium;77;19;21
Belgian Ale O;;;Omega Yeast Labs;Omega;;;OYL-046;;ale;liquid;;12;medium;77;19;22
Belgian Ale R;;;Omega Yeast Labs;Omega;;;OYL-020;;ale;liquid;;12;medium;78;18;24
Belgian Ale W;;;Omega Yeast Labs;Omega;;;OYL-028;;ale;liquid;;11;medium;76;18;26
Belgian Dark Ale A;;;Omega Yeast Labs;Omega;;;OYL-040;;ale;liquid;high;;medium;76.5;18;27
Belgian Saison I;;;Omega Yeast Labs;Omega;;;OYL-027;;ale;liquid;;12;low;78;21;35
Belgian Saison II;;;Omega Yeast Labs;Omega;;;OYL-042;;ale;liquid;;12;medium;77;21;29
Belgian Wheat;;;Omega Yeast Labs;Omega;;;OYL-029;;ale;liquid;;12;medium;74;18;23
Biere de Garde;;;Omega Yeast Labs;Omega;;;OYL-039;;ale;liquid;;9;low;77;21;29
Brett Blend #1 Where Da Funk?;;;Omega Yeast Labs;Omega;;;OYL-210;;brett-bacteria;liquid;;11;low;83;20;27
Brett Blend #2 Bit O' Funk;;;Omega Yeast Labs;Omega;;;OYL-211;;brett-bacteria;liquid;;11;low;48;20;27
Brett Blend #3 Bring On Da Funk;;;Omega Yeast Labs;Omega;;;OYL-212;;brett-bacteria;liquid;;11;low;48;20;27
Brettanomyces Bruxellensis;;;Omega Yeast Labs;Omega;;;OYL-202;;brett-bacteria;liquid;;10;low;48;20;29
Brettanomyces Claussenii;;;Omega Yeast Labs;Omega;;;OYL-201;;brett-bacteria;liquid;;10;low;48;20;29
Brettanomyces Lambicus;;;Omega Yeast Labs;Omega;;;OYL-203;;brett-bacteria;liquid;;10;low;48;20;29
British Ale I;;;Omega Yeast Labs;Omega;;;OYL-006;;ale;liquid;;10;medium-high;75;18;22
British Ale II;;;Omega Yeast Labs;Omega;;;OYL-007;;ale;liquid;;10;medium-high;70;18;24
British Ale III;;;Omega Yeast Labs;Omega;;;OYL-008;;ale;liquid;;10;high;71;18;23
British Ale IV;;;Omega Yeast Labs;Omega;;;OYL-010;;ale;liquid;;10;medium-low;73;17;23
British Ale V;;;Omega Yeast Labs;Omega;;;OYL-011;;ale;liquid;;10;high;73;18;23
British Ale VI;;;Omega Yeast Labs;Omega;;;OYL-013;;ale;liquid;;10;high;75;17;24
British Ale VII;;;Omega Yeast Labs;Omega;;;OYL-014;;ale;liquid;;9;high;69;18;22
British Ale VIII;;;Omega Yeast Labs;Omega;;;OYL-016;;ale;liquid;;9;very-high;69;18;22
British Ale XI;;;Omega Yeast Labs;Omega;;;OYL-048;;ale;liquid;high;;high;77;19;21
British Cask;;;Omega Yeast Labs;Omega;;;OYL-038;;ale;liquid;medium;;high;75.5;17;22
C2C American Farmhouse;;;Omega Yeast Labs;Omega;;;OYL-217;;brett-bacteria;liquid;;10;low;78;20;27
CL-50 Ale;;;Omega Yeast Labs;Omega;;;OYL-041;;ale;liquid;;10;low;75;16;21
Danish Lager;;;Omega Yeast Labs;Omega;;;OYL-104;;lager;liquid;;9;low;75;8;13
DIPA Ale;;;Omega Yeast Labs;Omega;;;OYL-052;;ale;liquid;;11;medium-low;76;18;22
East Coast Ale;;;Omega Yeast Labs;Omega;;;OYL-032;;ale;liquid;;10;medium-low;73;20;23
Espe Kveik;;;Omega Yeast Labs;Omega;;;OYL090;;ale;liquid;high;;medium;77;20;37
French Saison;;;Omega Yeast Labs;Omega;;;OYL-026;;ale;liquid;;12;low;85;18;25
German Bock;;;Omega Yeast Labs;Omega;;;OYL-111;;lager;liquid;;10;medium;73;9;13
German Lager I;;;Omega Yeast Labs;Omega;;;OYL-106;;lager;liquid;;9;medium-low;75;7;20
German Lager II;;;Omega Yeast Labs;Omega;;;OYL-109;;lager;liquid;;9;medium-high;72;10;13
Grand Cru;;;Omega Yeast Labs;Omega;;;OYL-023;;ale;liquid;;12;low;74;17;24
Gulo Ale;;;Omega Yeast Labs;Omega;;;OYL-501;;ale;liquid;high;;medium;87.5;20;25
Hefeweizen Ale I;;;Omega Yeast Labs;Omega;;;OYL-021;;ale;liquid;;10;low;75;18;24
Hefeweizen Ale II;;;Omega Yeast Labs;Omega;;;OYL-022;;ale;liquid;;10;high;73;17;24
Hornindal Kveik;;;Omega Yeast Labs;Omega;;;OYL-091;;ale;liquid;;12;high;79;21;35
HotHead Ale;;;Omega Yeast Labs;Omega;;;OYL-057;;ale;liquid;;11;medium-high;80;17;37
Irish Ale;;;Omega Yeast Labs;Omega;;;OYL-005;;ale;liquid;;12;medium;72;17;22
Jovaru Lithuanian Farmhouse;;;Omega Yeast Labs;Omega;;;OYL-033;;ale;liquid;medium;;high;85;21;35
Kolsch I;;;Omega Yeast Labs;Omega;;;OYL-017;;ale;liquid;;10;low;75;13;21
Kolsch II;;;Omega Yeast Labs;Omega;;;OYL-044;;ale;liquid;;10;medium;75;18;21
Lactobacillus Blend;;;Omega Yeast Labs;Omega;;;OYL-605;;brett-bacteria;liquid;;12;;;20;35
Lager I;;;Omega Yeast Labs;Omega;;;OYL-100;;lager;liquid;;;medium-high;73;9;13
London Ale;;;Omega Yeast Labs;Omega;;;OYL-003;;ale;liquid;;11;medium;72;19;22
Lutra Kveik;;;Omega Yeast Labs;Omega;;;OYL-071;;ale;liquid;high;;medium;78;20;35
Mexican Lager;;;Omega Yeast Labs;Omega;;;OYL-113;;lager;liquid;;9;medium;74;10;13
New Jersey Ale;;;Omega Yeast Labs;Omega;;;OYL-045;;ale;liquid;high;;high;76;19;22
Oktoberfest;;;Omega Yeast Labs;Omega;;;OYL-107;;lager;liquid;;9;medium-high;75;8;14
Pacific NW Ale;;;Omega Yeast Labs;Omega;;;OYL-012;;ale;liquid;;10;high;69;18;24
Pilsner I;;;Omega Yeast Labs;Omega;;;OYL-101;;lager;liquid;;9;medium-high;74;9;13
Pilsner II;;;Omega Yeast Labs;Omega;;;OYL-108;;lager;liquid;;9;medium-high;72;10;14
Saisonstein’s Monster;;;Omega Yeast Labs;Omega;;;OYL-500;;ale;liquid;high;;low;80;18;26
Scottish Ale;;;Omega Yeast Labs;Omega;;;OYL-015;;ale;liquid;;10;medium;75;18;21
Sundew Ale;;;Omega Yeast Labs;Omega;;;OYL-401;;ale;liquid;;12;high ;78;18;26
Swiss Lager;;;Omega Yeast Labs;Omega;;;OYL-112;;lager;liquid;low;;medium;75;10;13
Tropical IPA;;;Omega Yeast Labs;Omega;;;OYL-200;;ale;liquid;;10;low;92.5;24;29
Voss Kveik;;;Omega Yeast Labs;Omega;;;OYL-061;;ale;liquid;;12;medium;79;20;37
West Coast Ale I;;;Omega Yeast Labs;Omega;;;OYL-004;;ale;liquid;;11;medium-low;77;16;23
West Coast Ale II;;;Omega Yeast Labs;Omega;;;OYL-009;;ale;liquid;;10;medium;74;16;22
West Coast Ale III;;;Omega Yeast Labs;Omega;;;OYL-043;;ale;liquid;;11;medium-high;80;18;20
West Coast Ale IV;;;Omega Yeast Labs;Omega;;;OYL-050;;ale;liquid;;10;medium-high;77;17;23
West Coast Lager;;;Omega Yeast Labs;Omega;;;OYL-105;;lager;liquid;;9;high;69;14;20
Wit;;;Omega Yeast Labs;Omega;;;OYL-030;;ale;liquid;;11;medium;74;17;24
Lucky No. 7;;;Real Brewers;;;;;;ale;liquid;;10;high;75;20;24
The Monk;;;Real Brewers;;;;;;ale;liquid;;15;medium;78;19;22
The One;;;Real Brewers;;;;;;ale;liquid;;;high;75;20;24
Ye Olde English;;;Real Brewers;;;;;;ale;liquid;;;medium;70;18;21
DADY;;;Red Star;RedStar;;;DADY;;ale;dry;high;;low;65;18;27
Premier Blanc;;;Red Star;RedStar;;;UCD595;;wine-cider;dry;high;;low;;15;30
Chico Ale;;;RVA Yeast Labs;RVA;;;RVA 101;;ale;liquid;high;;medium;77.5;19;23
Boston Ale;;;RVA Yeast Labs;RVA;;;RVA 102;;ale;liquid;high;;medium;72.5;18;23
Pacman Ale;;;RVA Yeast Labs;RVA;;;RVA 103;;ale;liquid;high;;medium-high;76;17;22
Hoptopper Ale;;;RVA Yeast Labs;RVA;;;RVA 104;;ale;liquid;high;;medium-low;77.5;18;24
Chiswick Ale;;;RVA Yeast Labs;RVA;;;RVA 131;;ale;liquid;medium;;very-high;68.5;18;21
Manchester Ale;;;RVA Yeast Labs;RVA;;;RVA 132;;ale;liquid;medium;;high;72.5;18;22
Scotch Ale;;;RVA Yeast Labs;RVA;;;RVA 141;;ale;liquid;high;;medium;72.5;18;21
Dublin Ale;;;RVA Yeast Labs;RVA;;;RVA 151;;ale;liquid;high;;medium-high;72.5;18;21
German Ale I;;;RVA Yeast Labs;RVA;;;RVA 161;;ale;liquid;medium;;medium;73;16;20
Trappist Ale I;;;RVA Yeast Labs;RVA;;;RVA 201;;ale;liquid;high;;medium;77.5;18;22
Trappist Ale II;;;RVA Yeast Labs;RVA;;;RVA 202;;ale;liquid;high;;medium;77.5;18;22
Trappist Ale III;;;RVA Yeast Labs;RVA;;;RVA 203;;ale;liquid;high;;medium;77.5;18;22
Trappist Ale IV;;;RVA Yeast Labs;RVA;;;RVA 204;;ale;liquid;high;;medium;77.5;18;22
Belgian 1833 Ale;;;RVA Yeast Labs;RVA;;;RVA 221;;ale;liquid;medium;;medium;76.5;19;21
Belgian Gnome Ale;;;RVA Yeast Labs;RVA;;;RVA 222;;ale;liquid;high;;high;76.5;19;24
Verboten Ale;;;RVA Yeast Labs;RVA;;;RVA 241;;ale;liquid;high;;low;72.5;18;24
Golden Strong Ale;;;RVA Yeast Labs;RVA;;;RVA 251;;ale;liquid;high;;medium;76.5;20;24
Saison I;;;RVA Yeast Labs;RVA;;;RVA 261;;ale;liquid;medium;;medium;70;24;29
Saison II;;;RVA Yeast Labs;RVA;;;RVA 262;;ale;liquid;medium;;medium;78.5;19;25
Ghost Ale;;;RVA Yeast Labs;RVA;;;RVA 263;;ale;liquid;medium;;medium;80.5;18;27
American Lager;;;RVA Yeast Labs;RVA;;;RVA 301;;lager;liquid;medium;;medium;77.5;10;13
München Lager;;;RVA Yeast Labs;RVA;;;RVA 302;;lager;liquid;medium;;high;77.5;14;18
Oktoberfest Lager;;;RVA Yeast Labs;RVA;;;RVA 303;;lager;liquid;medium;;medium;69;11;14
Czech Lager;;;RVA Yeast Labs;RVA;;;RVA 304;;lager;liquid;medium;;medium;77.5;10;13
Alt Ale;;;Siebel Institute;Siebel;;;BRY 144;;ale;liquid;;;medium;78;15;20
American Ale;;;Siebel Institute;Siebel;;;BRY 96;;ale;liquid;;;medium;78;18;22
American Lager;;;Siebel Institute;Siebel;;;BRY 118;;lager;liquid;;;high;72;20;22
Bavarian Weizen Ale;;;Siebel Institute;Siebel;;;BRY 235;;ale;liquid;;;high;73;10;14
English Ale;;;Siebel Institute;Siebel;;;BRY 264;;ale;liquid;;;medium;78;15;20
German Kölsch;;;Siebel Institute;Siebel;;;BRY 401;;ale;liquid;;;low;72;13;15
North European Lager;;;Siebel Institute;Siebel;;;BRY 203;;lager;liquid;;;low;78;20;22
Trappist Ale;;;Siebel Institute;Siebel;;;BRY 204;;ale;liquid;;;medium;78;18;22
Amalgamation - Brett Super Blend;;;The Yeast Bay;TYB;;;WLP4637;;brett-bacteria;liquid;low;;low;85;21;27
Amalgamation - Brett Super Blend II;;;The Yeast Bay;TYB;;;WLP4641;;brett-bacteria;liquid;high;;low;84;21;27
Beersel Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4603;;brett-bacteria;liquid;low;;medium;78;21;27
Brettanomyces bruxellensis - Strain TYB261;;;The Yeast Bay;TYB;;;TYB261;;brett-bacteria;liquid;high;;low;81;22;28
Brettanomyces bruxellensis - Strain TYB184;;;The Yeast Bay;TYB;;;TYB184;;brett-bacteria;liquid;high;;medium;85;22;28
Brettanomyces bruxellensis - Strain TYB207;;;The Yeast Bay;TYB;;;TYB207;;brett-bacteria;liquid;high;;low;81;22;28
Brettanomyces bruxellensis - Strain TYB307;;;The Yeast Bay;TYB;;;TYB307;;brett-bacteria;liquid;high;;low;82;21;27
Brettanomyces bruxellensis - Strain TYB415;;;The Yeast Bay;TYB;;;TYB415;;brett-bacteria;liquid;high;;low;84;21;27
Brussels Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4613;;brett-bacteria;liquid;high;;medium;80;21;27
Dark Belgian Cask;;;The Yeast Bay;TYB;;;WLP4653;;brett-bacteria;liquid;high;;medium;82.5;20;24
Dry Belgian Ale;;;The Yeast Bay;TYB;;;WLP4025;;ale;liquid;high;;high;92.5;20;23
Farmhouse Sour Ale;;;The Yeast Bay;TYB;;;WLP4675;;brett-bacteria;liquid;low;;medium;90;21;26
Flanders Specialty Ale;;;The Yeast Bay;TYB;;;WLP4001;;ale;liquid;high;;medium;80;20;27
Framgarden Kveik;;;The Yeast Bay;TYB;;;WLP4051;;ale;liquid;high;;medium;80;27;35
Franconian Dark Lager;;;The Yeast Bay;TYB;;;WLP4030;;ale;liquid;low;;medium;71;8;11
Funktown Pale Ale;;;The Yeast Bay;TYB;;;WLP4627;;ale;liquid;low;;medium;79;20;23
Hazy Daze;;;The Yeast Bay;TYB;;;WLP4042;;ale;liquid;medium;;low;81;18;21
Hazy Daze II;;;The Yeast Bay;TYB;;;WLP4044;;ale;liquid;low;;low;83;19;22
Hessian Pils;;;The Yeast Bay;TYB;;;WLP4035;;ale;liquid;low;;medium;73.5;7;9
Hornindal Kveik;;;The Yeast Bay;TYB;;;WLP4050;;ale;liquid;high;;medium;79;27;35
Lactobacillus Blend;;;The Yeast Bay;TYB;;;WLP4682;;brett-bacteria;liquid;low;;low;80;21;32
Lactobacillus brevis - Strain TYB282;;;The Yeast Bay;TYB;;;WLP4681;;brett-bacteria;liquid;low;;low;4;21;32
Lida Kveik;;;The Yeast Bay;TYB;;;WLP4052;;ale;liquid;high;;low;79;27;32
Lochristi Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4623;;brett-bacteria;liquid;low;;medium;80;21;27
Sour Blend;;;The Yeast Bay;TYB;;;WLP4633;;brett-bacteria;liquid;low;;medium;85;20;26
Metschnikowia reukaufii ;;;The Yeast Bay;TYB;;;WLP4650;;ale;liquid;medium;;low;22.5;16;32
Midtbust Kveik;;;The Yeast Bay;TYB;;;WLP4053;;ale;liquid;high;;low;78;24;35
Midwestern Ale;;;The Yeast Bay;TYB;;;WLP4040;;ale;liquid;medium;;medium;78;18;22
Northeastern Abbey;;;The Yeast Bay;TYB;;;WLP4015;;ale;liquid;low;;medium;79;20;24
Pakruojis Lithuanian Farmhouse;;;The Yeast Bay;TYB;;;WLP4047;;ale;liquid;high;;low;95;24;35
Saison Blend;;;The Yeast Bay;TYB;;;WLP4007;;ale;liquid;low;;medium;79;22;28
Saison Blend II;;;The Yeast Bay;TYB;;;WLP4021;;ale;liquid;medium;;medium;85;20;27
Saison/Brettanomyces Blend;;;The Yeast Bay;TYB;;;WLP4626;;brett-bacteria;liquid;low;;medium;80;21;26
Saison/Brettanomyces Blend II;;;The Yeast Bay;TYB;;;WLP4636;;brett-bacteria;liquid;medium;;medium;83;22;27
Sigmund's Voss Kveik;;;The Yeast Bay;TYB;;;WLP4045;;ale;liquid;low;;high;80.5;21;38
Simonaitis Lithuanian Farmhouse;;;The Yeast Bay;TYB;;;WLP4046;;ale;liquid;high;;high;79;24;35
Transatlantic Berliner Blend;;;The Yeast Bay;TYB;;;WLP4645;;brett-bacteria;liquid;medium;;medium;92.5;19;24
TYB House Sour Blend;;;The Yeast Bay;TYB;;;;;brett-bacteria;liquid;high;;low;92.5;20;26
Vermont Ale;;;The Yeast Bay;TYB;;;WLP4000;;ale;liquid;low;;medium;78.5;18;22
Wallonian Farmhouse;;;The Yeast Bay;TYB;;;WLP4020;;ale;liquid;low;;medium;84.5;20;26
Wallonian Farmhouse II;;;The Yeast Bay;TYB;;;WLP4022;;ale;liquid;high;;medium;81;20;27
Wallonian III Farmhouse;;;The Yeast Bay;TYB;;;WLP4023;;ale;liquid;low;;low;83;20;27
Kveik;;;WHC Lab;WHC;;;;;ale;liquid;high;;high;75;30;35
Funky Pineapple;;;WHC Lab;WHC;;;;;ale;liquid;medium;;low;80;18;28
Odin;;;WHC Lab;WHC;;;;;ale;liquid;high;;high;76;25;37
Sanders;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;75;16;21
Saturated;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;73;20;23
The Wall;;;WHC Lab;WHC;;;;;ale;liquid;medium;;medium;77;16;21
Abbey Ale;;;White Labs;White Lab;;;WLP530;;ale;liquid;high;;medium-high;77.5;19;22
Abbey IV Ale;;;White Labs;White Lab;;;WLP540;;ale;liquid;high;;medium;78;19;22
American Ale Blend;;;White Labs;White Lab;;;WLP060;;ale;liquid;medium;;medium;76;20;22
American Farmhouse Blend;;;White Labs;White Lab;;;WLP670;;ale;liquid;medium;;medium;78.5;20;22
American Hefeweizen Ale;;;White Labs;White Lab;;;WLP320;;ale;liquid;medium;;low;72.5;18;21
American Lager;;;White Labs;White Lab;;;WLP840;;lager;liquid;medium;;medium;77.5;10;13
American Whiskey;;;White Labs;White Lab;;;WLP065;;ale;liquid;high;;medium;79;24;28
Antwerp Ale;;;White Labs;White Lab;;;WLP515;;ale;liquid;medium;;medium;76.5;19;21
Artisanal Country Ale;;;White Labs;White Lab;;;WLP073;;ale;liquid;medium;;medium;77.5;21;28
Australian Ale;;;White Labs;White Lab;;;WLP009;;ale;liquid;medium;;high;72.5;18;21
Bavarian Weizen;;;White Labs;White Lab;;;WLP351;;wheat;liquid;medium;;low;75;19;21
Bedford British;;;White Labs;White Lab;;;WLP006;;ale;liquid;medium;;high;76;18;21
Belgian Ale;;;White Labs;White Lab;;;WLP550;;ale;liquid;medium;;medium;81.5;20;26
Belgian Bastogne Ale;;;White Labs;White Lab;;;WLP510;;ale;liquid;high;;medium;77;19;22
Belgian Golden Ale;;;White Labs;White Lab;;;WLP570;;ale;liquid;high;;low;75.5;20;24
Belgian Lager;;;White Labs;White Lab;;;WLP815;;lager;liquid;medium;;medium;75;10;13
Belgian Saison I;;;White Labs;White Lab;;;WLP565;;ale;liquid;medium;;medium;70;20;24
Belgian Saison II;;;White Labs;White Lab;;;WLP566;;ale;liquid;medium;;medium;81.5;20;26
Belgian Saison III;;;White Labs;White Lab;;;WLP585;;ale;liquid;medium;;low;72;20;24
Belgian Sour Mix 1;;;White Labs;White Lab;;;WLP655;;brett-bacteria;liquid;medium;;medium-low;75;27;29
Belgian Strong Ale;;;White Labs;White Lab;;;WLP545;;ale;liquid;high;;medium;81.5;19;22
Belgian Style Ale Blend;;;White Labs;White Lab;;;WLP575;;ale;liquid;medium;;medium;77;20;24
Belgian Style Saison Blend;;;White Labs;White Lab;;;WLP568;;ale;liquid;medium;;medium;75;21;27
Belgian Wit Ale;;;White Labs;White Lab;;;WLP400;;ale;liquid;medium;;low;76;19;23
Belgian Wit II Ale;;;White Labs;White Lab;;;WLP410;;ale;liquid;medium;;low;72.5;19;23
Berliner Weisse Blend;;;White Labs;White Lab;;;WLP630;;brett-bacteria;liquid;medium;;medium;76.5;20;21
Best Of Both Worlds;;;White Labs;White Lab;;;WLP200;;ale;liquid;medium;;medium;76.5;18;23
Bourbon;;;White Labs;White Lab;;;WLP070;;ale;liquid;high;;medium;77;22;25
Brettanomyces Anomalus;;;White Labs;White Lab;;;WLP640;;brett-bacteria;liquid;medium;;low;77;21;29
Brettanomyces Bruxellensis Trois Vrai;;;White Labs;White Lab;;;WLP648;;brett-bacteria;liquid;medium;;low;85;21;29
